element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ag,3,199.959,,,,600,,,,,,
Ag,2,200.068462,0.000013,200.068449,0.000008,40000,1.75e+07,B+,3,3,,
Ag,3,200.730,,,,300,,,,,,
Ag,3,201.149,,,,200,,,,,,
Ag,3,201.365,,,,150,,,,,,
Ag,2,201.590481,0.000013,201.590491,0.000007,34000,3.7e+07,C+,2,1,,
Ag,2,202.5858,0.0021,202.588091,0.000013,570,,,3,4,,
Ag,2,203.392680,0.000013,203.392686,0.000007,38000,2.4e+07,B,2,1,,
Ag,3,204.133,,,,150,,,,,,
Ag,3,205.317,,,,150,,,,,,
Ag,3,205.383,,,,150,,,,,,
Ag,3,205.699,,,,200,,,,,,
Ag,2,205.9939,0.0021,205.997746,0.000011,540,,,4,3,,
Ag,1,206.1162,,206.116209,0.000004,200,3.1e+06,D,1/2,3/2,,
Ag,2,206.591011,0.000014,206.591012,0.000007,120000,4.7e+07,B+,2,3,,
Ag,1,206.9844,,206.984380,0.000013,100,1.5e+06,D,1/2,1/2,,
Ag,2,207.554292,0.000014,207.554294,0.000008,36000,1.2e+08,D+,1,2,,
Ag,3,208.104,,,,200,,,,,,
Ag,2,208.78208,0.00004,208.782083,0.000009,2300,,,1,1,,
Ag,2,208.9318,0.0022,208.931191,0.000014,740,,,4,4,,
Ag,2,209.489,,209.488826,0.000008,800:,4.8e+05,D+,3,2,,
Ag,2,210.075,0.009,210.093065,0.000014,140,,,4,3,,
Ag,2,211.140,0.003,211.139639,0.000008,4100,1.00e+07,B,2,2,,
Ag,2,211.382490,0.000013,211.382492,0.000008,530000,3.01e+08,A,3,3,,
Ag,2,212.044020,0.000013,212.044026,0.000007,220000,1.19e+08,B+,1,2,,
Ag,2,212.079683,0.000018,212.079682,0.000009,6900,1.5e+08,D+,1,1,,
Ag,2,212.542019,0.000014,212.542016,0.000008,66000,1.47e+08,B+,2,3,,
Ag,2,212.903277,0.000014,212.903279,0.000008,64000,7.6e+07,D+,2,2,,
Ag,2,214.553095,0.000018,214.553088,0.000008,6000,1.3e+08,D+,2,1,,
Ag,2,214.560920,0.000014,214.560925,0.000008,390000,3.78e+08,B+,1,1,,
Ag,2,214.570735,0.000014,214.570730,0.000009,75000,5.2e+08,C,2,2,,
Ag,3,214.647,,,,300,,,,,,
Ag,3,214.919,,,,150,,,,,,
Ag,2,215.88525,0.00004,215.885242,0.000009,4700,,,2,1,,
Ag,3,216.189,,,,600,,,,,,
Ag,2,216.60359,0.00003,216.603582,0.000008,22000,1.7e+08,D+,1,1,,
Ag,3,216.621,,,,150,,,,,,
Ag,2,216.650867,0.000014,216.650863,0.000007,150000,6.0e+07,B,2,2,,
Ag,1,217.000,,,,15,,,,,,
Ag,2,217.078958,0.000014,217.078956,0.000010,84000,1.6e+08,C,2,3,,
Ag,2,217.16858,0.00004,217.168597,0.000008,28000,3.9e+06,E,3,2,,
Ag,2,218.569653,0.000019,218.569647,0.000010,10000,,,3,3,,
Ag,2,218.676813,0.000014,218.676813,0.000007,210000,7.27e+07,A,2,3,,
Ag,2,,,220.016534,0.000011,,3.0e+06,E,3,4,,
Ag,2,220.203376,0.000015,220.203378,0.000012,120000,6.7e+08,C,2,1,,
Ag,2,220.355651,0.000015,220.355647,0.000010,63000,2.1e+08,D+,0,1,,
Ag,2,220.429872,0.000019,220.429876,0.000009,26000,5.6e+07,C+,3,2,,
Ag,2,220.587431,0.000015,220.587428,0.000009,120000,2.5e+08,C,3,3,,
Ag,2,220.840105,0.000015,220.840106,0.000008,160000,1.9e+08,D+,2,2,,
Ag,2,221.031012,0.000024,221.031008,0.000007,2000,3.00e+06,B+,2,2,,
Ag,3,221.123,,,,150,,,,,,
Ag,2,221.87484,0.00003,221.874835,0.000015,9100,,,3,4,,
Ag,2,221.958790,0.000015,221.958792,0.000008,34000,7.3e+07,B+,3,3,,
Ag,2,,,222.400468,0.000008,,4.0e+06,D,2,1,,
Ag,2,222.600217,0.000015,222.600217,0.000012,35000,6.1e+08,B,1,0,,
Ag,2,222.951924,0.000015,222.951923,0.000008,520000,2.09e+08,B+,2,2,,
Ag,3,223.840,,,,100,,,,,,
Ag,2,224.032094,0.000015,224.032091,0.000010,34000,1.9e+08,D+,0,1,,
Ag,2,224.05016,0.00003,224.050161,0.000009,6900,4.2e+07,D+,2,1,,
Ag,2,224.172134,0.000020,224.172144,0.000009,10000,4.7e+07,D+,3,2,,
Ag,2,224.344841,0.000015,224.344833,0.000011,2400000,4.3e+08,D+,1,0,,
Ag,2,224.610652,0.000015,224.610646,0.000010,110000,7.1e+08,C,3,4,,
Ag,2,224.641186,0.000015,224.641194,0.000009,900000,3.91e+08,A,3,4,,
Ag,3,224.651,,,,500,,,,,,
Ag,2,224.874892,0.000015,224.874886,0.000007,460000,2.57e+08,B+,2,2,,
Ag,2,225.336127,0.000015,225.336124,0.000011,130000,5.6e+08,C,2,3,,
