element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Cu,2,199.969752,0.000008,199.969754,0.000007,20000000,2.13e+08,B,3,3,,
Cu,1,200.1672,0.0002,200.16723,0.00008,12a,,,1/2,5/2,E2,
Cu,1,200.1947,0.0002,200.19472,0.00008,6a,,,1/2,3/2,E2,
Cu,2,200.29033,0.00020,200.29020,0.00012,73000,,,1,1,,
Cu,1,200.9252,0.0002,200.92510,0.00020,12a,,,5/2,3/2,,
Cu,2,200.932,0.015,200.928239,0.000009,6800,,,4,3,,
Cu,2,201.298037,0.000015,201.298041,0.000008,1800000,2.5e+08,C,2,3,,
Cu,3,201.322,,,,200,,,,,,
Cu,2,201.55822,0.00004,201.558222,0.000009,1400000,2.1e+07,C+,1,1,,
Cu,2,201.58660,0.00024,201.58649,0.00012,39000,,,0,1,,
Cu,2,201.68964,0.00006,201.689673,0.000007,1700000,8.1e+06,C+,3,2,,
Cu,2,201.76096,0.00016,201.760977,0.000013,160000,,,3,3,,
Cu,2,202.21913,0.00016,202.219147,0.000008,170000,1.14e+07,C+,3,4,,
Cu,1,202.3947,0.0002,202.39473,0.00016,12a,,,5/2,3/2,,
Cu,1,202.4002,0.0002,202.40019,0.00020,6a,,,5/2,5/2,,
Cu,1,202.4327,0.0008,202.43252,0.00021,3000a,bl,9.8e+06,B,1/2,1/2,,
Cu,1,202.4338,0.0002,202.43383,0.00007,7000a,9.8e+06,B,1/2,3/2,,
Cu,2,202.548773,0.000013,202.548775,0.000006,8100000,6.8e+07,C+,1,2,,
Cu,2,202.5919,0.0003,202.591683,0.000013,25000,,,3,2,,
Cu,2,202.71336,0.00006,202.713416,0.000010,610000,1.3e+08,C,1,1,,
Cu,2,202.9471,0.0003,202.947227,0.000017,37000,,,2,2,,
Cu,2,202.99491,0.00007,202.994908,0.000007,560000,8.0e+07,B,2,1,,
Cu,2,203.103579,0.000017,203.103598,0.000007,2700000,4.5e+08,B,2,2,,
Cu,2,203.3844,0.0003,203.384242,0.000009,62000,8.9e+06,C+,4,4,,
Cu,2,203.585321,0.000007,203.585327,0.000006,19000000,3.7e+08,C+,1,1,,
Cu,2,203.69201,0.00003,203.692001,0.000010,730000,1.9e+08,C,0,1,,
Cu,2,203.712672,0.000006,203.712668,0.000005,13000000,1.36e+08,B,2,3,,
Cu,2,204.38019,0.00005,204.380148,0.000008,21000000,1.42e+08,C+,3,3,,
Cu,1,204.5692,0.0004,204.56914,0.00021,15a,,,5/2,3/2,,
Cu,2,204.767825,0.000016,204.767825,0.000013,1300000,5.32e+08,B+,1,0,,
Cu,2,205.425259,0.000021,205.425263,0.000009,810000,1.4e+08,C,2,2,,
Cu,2,205.44171,0.00003,205.441739,0.000009,960000,6.7e+08,C,1,0,,
Cu,2,205.497836,0.000006,205.497836,0.000005,18000000,1.65e+08,C+,2,2,,
Cu,1,205.768,0.002,205.7683,0.0006,2a,,,3/2,1/2,3/2,,
Cu,2,205.8611,0.0003,205.861377,0.000013,49000,,,3,2,,
Cu,1,206.076,0.002,206.0758,0.0009,2a*,,,3/2,1/2,,
Cu,1,206.076,0.002,206.0760,0.0008,2a*,,,3/2,3/2,,
Cu,2,206.24201,0.00004,206.242011,0.000007,1500000,1.7e+08,C,1,2,,
Cu,1,206.458,0.002,206.4583,0.0009,2a*,,,3/2,1/2,,
Cu,1,206.458,0.002,206.4585,0.0009,2a*,,,3/2,3/2,,
Cu,2,206.62609,0.00005,206.626109,0.000011,960000,2.00e+08,B+,0,1,,
Cu,2,206.7368,0.0003,206.736392,0.000018,35000,,,2,3,,
Cu,1,206.8321,0.0017,206.8315,0.0007,5,,,3/2,5/2,,
Cu,1,206.941,0.002,206.9422,0.0013,3a*,,,3/2,1/2,,
Cu,1,206.941,0.002,206.9433,0.0021,3a*,,,3/2,3/2,,
Cu,2,206.99356,0.00013,206.993487,0.000008,240000,3.7e+07,C,2,2,,
Cu,2,207.4213,0.0003,207.420995,0.000018,39000,,,2,1,,
Cu,2,,,207.424066,0.000013,m,,,1,2,,
Cu,1,207.566,0.002,207.5662,0.0004,5a,,,3/2,1/2,,
Cu,2,207.866147,0.000010,207.866153,0.000007,6700000,6.3e+08,B+,2,1,,
Cu,1,207.9534,0.0004,207.95343,0.00022,15a,,,5/2,3/2,,
Cu,2,208.00593,0.00013,208.005953,0.000010,210000,4.9e+07,C,2,1,,
Cu,2,208.2920,0.0020,208.291535,0.000007,56000,1.0e+06,E,2,3,,
Cu,1,208.3911,0.0004,208.3911,0.0003,6a,,,3/2,1/2,,
Cu,2,208.43229,0.00020,208.432369,0.000022,170000,,,4,4,,
Cu,2,208.52735,0.00009,208.527476,0.000007,860000,6.7e+07,C,3,2,,
Cu,2,208.5297,0.0004,208.530956,0.000008,2500000,4.1e+06,C+,3,2,,
Cu,15,208.53,,208.5+,,,2.81e+02,C,3/2,3/2,M1,
Cu,2,208.791812,0.000012,208.791817,0.000008,3400000,4.2e+08,B,2,3,,
Cu,2,208.796979,0.000024,208.796987,0.000007,3700000,2.6e+08,C,3,3,,
Cu,2,209.36366,0.00005,209.363705,0.000007,2400000,2.20e+08,B,1,1,,
Cu,2,209.47925,0.00009,209.479321,0.000007,290000,2.21e+07,C+,1,2,,
Cu,1,209.5161,0.0004,209.5159,0.0004,8a,,,3/2,1/2,,
Cu,1,209.529,0.002,209.52925,0.00022,3a,,,3/2,3/2,,
Cu,2,209.61891,0.00014,209.619052,0.000009,120000,1.6e+07,C,3,2,,
Cu,2,209.83067,0.00003,209.830677,0.000009,1200000,1.01e+08,C,3,3,,
Cu,2,209.83971,0.00002,209.839724,0.000009,5000000,2.09e+08,B,4,4,,
Cu,2,209.87405,0.00009,209.874108,0.000007,300000,2.0e+07,C,3,3,,
Cu,2,210.0397,0.0003,210.039318,0.000009,53000,,,4,3,,
Cu,2,210.479587,0.000006,210.479586,0.000005,62000000,7.7e+07,C+,1,2,,
Cu,1,210.5112,0.0004,210.5115,0.0004,10a,,,5/2,3/2,,
Cu,2,210.63816,0.00011,210.63791,0.00003,240000,,,3,4,,
Cu,2,211.0308,0.0003,211.030833,0.000014,90000,,,2,3,,
Cu,1,211.1006,0.0004,211.1007,0.0003,10a,,,3/2,1/2,,
Cu,1,211.1280,0.0007,211.12789,0.00022,4a,,,3/2,3/2,,
Cu,2,211.12934,0.00004,211.129323,0.000009,860000,6.6e+07,C,4,3,,
Cu,2,211.209930,0.000019,211.209946,0.000010,55000000,3.5e+08,C+,2,1,,
Cu,2,211.25245,0.00014,211.252195,0.000009,110000,1.2e+07,C,3,2,,
Cu,1,211.326,0.006,211.3238,0.0022,2h,,,1/2,3/2,,
Cu,2,211.730881,0.000010,211.730874,0.000008,12000000,7.2e+08,B,3,4,,
Cu,2,211.83748,0.00020,211.837484,0.000008,260000,2.7e+07,B,3,2,,
