element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Fe,3,199.9400,0.0005,199.9403,0.0004,18000,,,1,0,,
Fe,3,199.9584,0.0005,199.9583,0.0004,200000,3.46e+08,B,5,6,,
Fe,2,199.9723,0.0005,199.972463,0.000010,2300d?,,,5/2,3/2,,
Fe,3,200.0046,0.0005,200.00470,0.00020,44000,2.3e+08,C,3,3,,
Fe,3,200.0148,0.0015,200.01311,0.00020,2200,,,4,3,,
Fe,3,,,200.0322,0.0004,,2.6e-01,C,3,2,M1+E2,
Fe,2,200.037731,0.000011,200.037732,0.000010,80000,9.5e+07,C+,11/2,9/2,,
Fe,1,200.0578,0.00024,200.057726,0.000010,2,,,4,3,,
Fe,3,200.0593,0.0010,200.05886,0.00024,18000*,3.5e+06,D,2,2,,
Fe,3,200.0593,0.0010,200.05942,0.00020,18000*,,,3,3,,
Fe,1,200.0671,0.00024,200.067016,0.000010,2,,,4,3,,
Fe,2,200.09046,0.00004,200.090426,0.000010,1400,6.e+06,D,3/2,1/2,,
Fe,2,200.09291,0.00003,200.092909,0.000010,1600,,,5/2,5/2,,
Fe,3,200.1160,0.0005,200.11662,0.00024,44000,6.e+07,D,3,2,,
Fe,3,200.1264,0.0005,200.12632,0.00020,44000,,,2,3,,
Fe,3,200.1372,0.0005,200.13638,0.00016,18000,9.e+07,D+,2,3,,
Fe,3,200.1490,0.0005,200.14880,0.00020,18000,4.5e+07,D,2,2,,
Fe,3,200.1828,0.0005,200.18307,0.00024,59000,1.6e+08,C+,5,6,,
Fe,2,200.1833,0.0005,200.182944,0.000011,250bl(Fe III),,,3/2,3/2,,
Fe,3,200.2267,0.0005,200.22570,0.00016,1200,,,3,4,,
Fe,1,200.23799,0.00006,200.238154,0.000007,13,,,2,3,,
Fe,3,200.2477,0.0005,200.2475,0.0003,44000,4.2e+08,C+,2,3,,
Fe,2,200.2483,0.0005,200.248420,0.000010,210d?,,,1/2,3/2,,
Fe,2,200.25557,0.00005,200.255585,0.000011,1000,,,1/2,3/2,,
Fe,3,200.2601,0.0005,200.25932,0.00016,33000,5.5e+07,D+,5,4,,
Fe,3,200.2994,0.0005,200.29913,0.00020,2200,,,1,2,,
Fe,2,200.31909,0.00013,200.31909,0.00005,600,3.9e+07,D+,1/2,1/2,,
Fe,3,200.3503,0.0010,200.34963,0.00020,80000*,4.8e+07,D+,4,3,,
Fe,3,200.3503,0.0010,200.35032,0.00024,80000*,2.2e+08,D+,2,2,,
Fe,2,200.3506,0.0005,200.351268,0.000011,600bl(Fe III),,,7/2,9/2,,
Fe,1,200.3605,0.00024,200.360565,0.000010,1,,,3,4,,
Fe,2,200.3605,0.0005,200.361557,0.000010,310bl(Fe I),,,7/2,5/2,,
Fe,1,200.3728,0.00024,200.373105,0.000010,(0),,,3,2,,
Fe,1,200.38696,0.00006,200.386980,0.000007,14,,,3,4,,
Fe,2,200.39104,0.00007,200.390992,0.000010,2900,5.e+06,D,3/2,1/2,,
Fe,2,200.42293,0.00008,200.422902,0.000010,700,,,3/2,5/2,,
Fe,3,200.4289,0.0005,200.42862,0.00016,5400,,,3,3,,
Fe,2,200.43221,0.00012,200.432106,0.000010,500,2.6e+07,E,1/2,1/2,,
Fe,2,200.43840,0.00005,200.438424,0.000010,800,4.0e+06,D,7/2,7/2,,
Fe,2,200.4441,0.0005,200.443312,0.000013,310d?,,,7/2,5/2,,
Fe,3,200.4949,0.0005,200.49451,0.00020,32000,2.6e+07,D,3,2,,
Fe,3,200.5088,0.0005,200.50899,0.00020,59000,1.7e+08,D+,2,1,,
Fe,1,200.5297,0.00024,200.529848,0.000007,2,,,2,2,,
Fe,3,200.5451,0.0005,200.54576,0.00024,32000,4.3e+07,D,1,2,,
Fe,1,200.5594,0.00024,200.559229,0.000010,2,,,3,2,,
Fe,3,200.5712,0.0005,200.57140,0.00016,44000,2.0e+08,C,4,4,,
Fe,2,200.5720,0.0005,200.570839,0.000010,700d,,,7/2,7/2,,
Fe,2,200.5760,0.0005,200.575734,0.000010,1300,,,7/2,9/2,,
Fe,1,200.62444,0.00006,200.624516,0.000010,27,,,5,6,,
Fe,1,200.6245,0.0003,200.623707,0.000017,4bl,,,5,4,,
Fe,3,200.6268,0.0005,200.62691,0.00024,44000,5.4e+07,D+,1,2,,
Fe,1,200.6318,0.00024,200.631673,0.000007,1,,,5,5,,
Fe,1,200.6464,0.00024,200.646280,0.000007,1,,,5,5,,
Fe,2,200.70128,0.00003,200.701387,0.000010,16000,2.0e+07,D+,7/2,5/2,,
Fe,1,200.7179,0.0010,200.717090,0.000006,4d,,,4,3,,
Fe,2,200.71838,0.00005,200.718400,0.000010,1200,4.2e+06,D,3/2,5/2,,
Fe,1,200.72193,0.00006,200.721886,0.000010,22,,,5,4,,
Fe,2,200.74417,0.00003,200.744193,0.000010,9000,8.e+06,D+,5/2,5/2,,
Fe,2,200.77084,0.00002,200.770822,0.000010,13000,1.6e+07,D+,3/2,3/2,,
Fe,3,200.7858,0.0005,200.78602,0.00024,80000,2.9e+08,D+,1,1,,
Fe,2,200.79467,0.00006,200.794653,0.000010,1000,,,5/2,7/2,,
Fe,1,200.8233,0.00024,200.822913,0.000010,2,,,5,5,,
Fe,3,200.8470,0.0005,200.8474,0.0003,59000,5.1e+08,D+,1,0,,
Fe,1,200.8478,0.00024,200.847440,0.000007,(3),,,4,3,,
Fe,1,200.8505,0.00024,200.849817,0.000007,0d?,,,4,4,,
Fe,1,200.8552,0.00024,200.855181,0.000007,1,,,4,5,,
Fe,2,200.8552,0.0005,200.855734,0.000013,900bl(Fe I),,,5/2,5/2,,
Fe,2,200.9031,0.0005,200.902956,0.000013,700bl(Fe I),,,1/2,3/2,,
Fe,1,200.9031,0.00024,200.903114,0.000007,(0),,,2,3,,
