element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
He,1,257.76,0.03,257.79,0.03,50,,,0,1,2,1,2,3,,
He,1,267.7135,,267.7128036,0.0000021,1*,4.4174e+05,AAA,1,0,,
He,1,267.7135,,267.7128518,0.0000021,1*,4.4174e+05,AAA,1,1,,
He,1,267.7135,,267.7128557,0.0000021,1*,4.4174e+05,AAA,1,2,,
He,1,269.6119,,269.6117592,0.0000021,1*,6.0234e+05,AAA,1,0,,
He,1,269.6119,,269.6118264,0.0000021,1*,6.0234e+05,AAA,1,1,,
He,1,269.6119,,269.6118319,0.0000021,1*,6.0234e+05,AAA,1,2,,
He,1,272.3191,,272.3191003,0.0000021,1*,8.4996e+05,AAA,1,0,,
He,1,272.3191,,272.3191983,0.0000021,1*,8.4996e+05,AAA,1,1,,
He,1,272.3191,,272.3192063,0.0000021,1*,8.4996e+05,AAA,1,2,,
He,2,,,273.3184772,0.0000021,,2.5056e+07,AA,1/2,3/2,,
He,2,,,273.3195173,0.0000021,,1.5291e+07,AA,1/2,3/2,,
He,2,,,273.3199647,0.0000021,,2.7070e+06,AA,1/2,1/2,,
He,2,,,273.3211384,0.0000021,,1.5293e+07,AA,1/2,1/2,,
He,2,,,273.3308860,0.0000021,,3.2071e+07,AA,3/2,5/2,,
He,2,,,273.3309064,0.0000021,,3.0065e+07,AA,3/2,5/2,,
He,2,,,273.3314227,0.0000021,,1.2527e+05,AA,3/2,3/2,,
He,2,,,273.3314467,0.0000021,,5.0109e+06,AA,3/2,3/2,,
He,2,,,273.3329344,0.0000021,,5.4160e+06,AA,3/2,1/2,,
He,2,,,273.3330439,0.0000021,,1.2535e+06,AA,3/2,1/2,,
He,2,,,273.3349389,0.0000021,,3.4360e+07,AA,5/2,7/2,,
He,2,,,273.3352090,0.0000021,,2.2905e+06,AA,5/2,5/2,,
He,2,,,273.3357457,0.0000021,,1.1277e+06,AA,5/2,3/2,,
He,1,,,276.3801583,0.0000021,2*,1.2508e+06,AAA,1,0,,
He,1,,,276.3803097,0.0000021,2*,1.2508e+06,AAA,1,1,,
He,1,,,276.3803221,0.0000021,2*,1.2508e+06,AAA,1,2,,
He,1,281.82,0.03,281.82,0.04,10,,,0,1,2,0,1,2,,
He,1,,,282.9078411,0.0000021,4*,1.9389e+06,AAA,1,0,,
He,1,,,282.9080951,0.0000021,4*,1.9389e+06,AAA,1,1,,
He,1,,,282.9081157,0.0000021,4*,1.9389e+06,AAA,1,2,,
He,1,294.5106,,294.5098929,0.0000021,10*,3.2006e+06,AAA,1,0,,
He,1,294.5106,,294.5103740,0.0000021,10*,3.2006e+06,AAA,1,1,,
He,1,294.5106,,294.5104132,0.0000021,10*,3.2006e+06,AAA,1,2,,
He,1,301.37,0.03,301.371,0.015,40,,,0,1,2,1,2,3,,
He,1,,,318.7733181,0.0000020,,5.6361e+06,AAA,1,0,,
He,1,318.7745,,318.7744395,0.0000020,20*,5.6361e+06,AAA,1,1,,
He,1,318.7745,,318.7745310,0.0000020,20*,5.6361e+06,AAA,1,2,,
He,2,,,320.2946921,0.0000020,,4.5253e+07,AA,1/2,3/2,,
He,2,,,320.2961177,0.0000020,,2.6220e+07,AA,1/2,3/2,,
He,2,,,320.2982222,0.0000020,,4.8288e+06,AA,1/2,1/2,,
He,2,,,320.2999646,0.0000020,,2.6224e+07,AA,1/2,1/2,,
He,2,,,320.3111934,0.0000020,,6.7879e+07,AA,3/2,5/2,,
He,2,,,320.3112204,0.0000020,,5.4301e+07,AA,3/2,5/2,,
He,2,,,320.3124670,0.0000020,,2.3944e+05,AA,3/2,3/2,,
He,2,,,320.3125027,0.0000020,,9.0502e+06,AA,3/2,3/2,,
He,2,,,320.3160332,0.0000020,,9.6612e+06,AA,3/2,1/2,,
He,2,,,320.3163143,0.0000020,,2.3958e+06,AA,3/2,1/2,,
He,2,,,320.3164890,0.0000020,,7.2724e+07,AA,5/2,7/2,,
He,2,,,320.3171302,0.0000020,,4.8481e+06,AA,5/2,5/2,,
He,2,,,320.3184037,0.0000020,,2.1553e+06,AA,5/2,3/2,,
He,1,323.1266,,323.1270394,0.0000020,0,5.1015e+05,AAA,0,1,,
He,1,325.8275,,325.8273506,0.0000020,1,6.9627e+05,AAA,0,1,,
He,1,,,329.6772939,0.0000020,,9.8432e+05,AAA,0,1,,
He,1,,,335.4555098,0.0000021,1,1.4537e+06,AAA,0,1,,
He,1,,,344.7589034,0.0000021,2,2.2691e+06,AAA,0,1,,
He,1,,,344.9270805,0.0000021,,3.9163e+00,AAA,0,2,E2,
He,1,355.4415,,355.4406140,0.0000021,1*,3.6386e+04,AAA,2,1,,
He,1,355.4415,,355.4406289,0.0000021,1*,3.2745e+05,AAA,2,2,,
He,1,355.4415,,355.4406300,0.0000021,1*,1.3099e+05,AAA,2,3,,
He,1,355.4415,,355.4415799,0.0000021,1*,5.4579e+05,AAA,1,1,,
He,1,355.4415,,355.4415948,0.0000021,1*,9.8235e+05,AAA,1,2,,
He,1,,,355.4540654,0.0000021,,7.2772e+05,AAA,0,1,,
He,1,356.2979,,356.2969075,0.0000021,0*,2.6868e+05,AAA,2,1,,
He,1,356.2979,,356.2978780,0.0000021,0*,1.6121e+05,AAA,1,1,,
He,1,,,356.3104237,0.0000021,,5.3735e+04,AAA,0,1,,
He,1,358.7270,,358.7261797,0.0000021,1*,5.0298e+04,AAA,2,1,,
He,1,358.7270,,358.7262006,0.0000021,1*,4.5265e+05,AAA,2,2,,
He,1,358.7270,,358.7262020,0.0000021,1*,1.8107e+06,AAA,2,3,,
He,1,358.7270,,358.7271635,0.0000021,1*,7.5448e+05,AAA,1,1,,
He,1,358.7270,,358.7271843,0.0000021,1*,1.3580e+06,AAA,1,2,,
He,1,,,358.7398810,0.0000021,0,1.0060e+06,AAA,0,1,,
He,1,,,359.9304502,0.0000021,,3.7358e+05,AAA,2,1,,
He,1,,,359.9314406,0.0000021,,2.2415e+05,AAA,1,1,,
He,1,,,359.9442436,0.0000021,,7.4716e+04,AAA,0,1,,
He,1,361.3643,,361.3642093,0.0000021,3,3.8022e+06,AAA,0,1,,
He,1,,,361.6802369,0.0000021,,8.2983e+00,AAA,0,2,E2,
He,1,,,363.4230767,0.0000021,2*,7.2396e+04,AAA,2,1,,
He,1,,,363.4231071,0.0000021,2*,6.5151e+05,AAA,2,2,,
He,1,,,363.4231092,0.0000021,2*,2.6063e+06,AAA,2,3,,
He,1,,,363.4240864,0.0000021,2*,1.0859e+06,AAA,1,1,,
He,1,,,363.4241168,0.0000021,2*,1.9546e+06,AAA,1,2,,
He,1,,,363.4371390,0.0000021,0,1.4479e+06,AAA,0,1,,
He,1,365.1990,,365.1981531,0.0000021,1*,5.4136e+05,AAA,2,1,,
He,1,365.1990,,365.1991727,0.0000021,1*,3.2481e+05,AAA,1,1,,
He,1,,,365.2123532,0.0000021,0,1.0827e+05,AAA,0,1,,
He,1,370.5005,,370.4995274,0.0000021,3*,1.0980e+05,AAA,2,1,,
He,1,370.5005,,370.4995746,0.0000021,3*,9.8814e+05,AAA,2,2,,
He,1,370.5005,,370.4995779,0.0000021,3*,3.9529e+06,AAA,2,3,,
