element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Mn,2,200.0520,0.0006,200.05202,0.00020,80,,,2,1,,
Mn,2,200.191,0.002,200.1896,0.0004,60H,1.8e+08,D,4,4,,
Mn,2,200.335,0.002,200.33472,0.00008,20H,,,3,4,,
Mn,1,200.385,,,,18000,,,,,,
Mn,2,200.423,0.0015,200.42432,0.00016,1,,,3,2,,
Mn,2,200.456,0.0015,200.45458,0.00024,60,,,4,5,,
Mn,2,200.5165,0.0018,200.51559,0.00012,15?,,,3,3,,
Mn,2,200.6682,0.0006,200.66804,0.00012,15,,,4,4,,
Mn,2,200.790,0.0015,200.78998,0.00012,3,,,2,3,,
Mn,2,200.906,0.0015,200.90653,0.00016,1,,,2,3,,
Mn,2,200.948,0.0015,200.94789,0.00012,3,,,3,4,,
Mn,2,201.1928,0.0006,201.19313,0.00012,100,,,4,3,,
Mn,2,201.2119,0.0006,201.21087,0.00012,100,,,5,4,,
Mn,2,201.2799,0.0006,201.27958,0.00016,30,,,5,5,,
Mn,2,201.3157,0.0018,201.31498,0.00012,20*,,,3,3,,
Mn,2,201.3157,0.0018,201.31690,0.00020,20*,,,3,4,,
Mn,2,201.3895,0.0006,201.38921,0.00012,100,,,3,2,,
Mn,19,,,201.5,,,8.0e+02,C,1/2,3/2,M1,
Mn,2,201.620,0.0015,201.62060,0.00012,5,,,4,4,,
Mn,2,201.705,0.0015,201.70543,0.00024,40,,,2,1,,
Mn,2,201.717,0.0015,201.71626,0.00012,5,,,3,3,,
Mn,2,202.0141,0.0006,202.01334,0.00016,30,,,3,2,,
Mn,2,202.102,0.0015,202.10243,0.00012,5,,,4,3,,
Mn,2,202.183,0.0015,202.18300,0.00020,50,,,4,5,,
Mn,3,202.219,,,,300,,,,,,
Mn,2,202.363,0.0015,202.36327,0.00012,5,,,1,1,,
Mn,2,202.435,0.0015,202.4344,0.0005,2*,,,4,5,,
Mn,2,202.435,0.0015,202.4363,0.0012,2i*,,,1,1,,
Mn,2,202.435,0.0015,202.43680,0.00012,2i*,,,6,6,,
Mn,2,202.435,0.0015,202.43680,0.00012,2i*,,,6,5,,
Mn,2,202.546,0.0015,202.54284,0.00016,5,,,1,2,,
Mn,2,202.654,0.0015,202.65392,0.00016,40,,,4,5,,
Mn,3,202.783,,,,1000w,,,,,,
Mn,3,202.814,,,,500w,,,,,,
Mn,2,203.0098,0.0006,203.01037,0.00012,20,,,3,4,,
Mn,2,203.120,0.0015,203.11961,0.00021,30,,,6,5,,
Mn,2,203.216,0.0015,203.21764,0.00017,10,,,2,3,,
Mn,2,203.393,0.0015,203.39206,0.00012,50,,,5,5,,
Mn,2,203.5133,0.0018,203.5123,0.0003,15*,,,3,4,,
Mn,2,203.5133,0.0018,203.51307,0.00017,15*,,,5,4,,
Mn,2,203.548,0.0015,203.54510,0.00012,5,,,5,4,,
Mn,2,203.607,0.0015,203.60689,0.00017,10,,,4,5,,
Mn,2,203.731,0.0015,203.73039,0.00025,500,1.4e+08,D,6,6,,
Mn,2,203.7643,0.0006,203.76474,0.00017,400,1.2e+08,D,5,5,,
Mn,2,203.997,0.002,203.9922,0.0003,400*,,,3,4,,
Mn,2,203.997,0.002,203.99717,0.00021,400*,1.2e+08,D,4,4,,
Mn,2,204.1630,0.0006,204.16321,0.00013,40,,,4,4,,
Mn,2,204.214,0.0015,204.21502,0.00013,10,,,5,4,,
Mn,2,204.250,0.0015,204.25003,0.00021,10,,,4,5,,
Mn,2,204.312,0.0015,204.31203,0.00017,40,,,3,3,,
Mn,2,204.343,0.0015,204.34319,0.00017,1,,,2,3,,
Mn,2,204.3800,0.0006,204.37941,0.00021,15,,,5,6,,
Mn,3,204.457,,,,300,,,,,,
Mn,2,204.659,0.0015,204.65883,0.00017,20,,,5,4,,
Mn,3,204.893,,,,400,,,,,,
Mn,3,204.968,,,,500,,,,,,
Mn,3,205.680,,,,300,,,,,,
Mn,2,205.983,0.0015,205.98343,0.00017,1,,,4,3,,
Mn,2,206.4043,0.0006,206.40436,0.00013,15,,,5,5,,
Mn,3,206.638,,,,500,,,,,,
Mn,3,206.902,,,,1000,,,,,,
Mn,2,207.3584,0.0006,207.35836,0.00013,2,,,3,3,,
Mn,2,207.497,0.0015,207.5001,0.0005,5,,,2,1,,
Mn,2,207.6210,0.0006,207.6217,0.0003,300,1.2e+08,D,6,6,,
Mn,2,207.666,0.0015,207.66743,0.00013,3,,,3,4,,
Mn,2,207.6946,0.0006,207.69552,0.00013,15,,,5,4,,
Mn,3,207.738,,,,900,,,,,,
Mn,3,207.813,,,,300,,,,,,
Mn,2,207.969,0.0015,207.96948,0.00013,5,,,5,4,,
Mn,2,208.130,0.0015,208.13011,0.00017,20,,,1,2,,
Mn,2,208.1548,0.0006,208.15719,0.00013,20,,,4,3,,
Mn,3,208.423,,,,800,,,,,,
Mn,2,208.476,0.0015,208.47656,0.00022,100,4.2e+07,D,6,7,,
Mn,2,208.614,0.0015,208.61479,0.00013,10,,,4,4,,
Mn,2,208.645,0.0015,208.64523,0.00013,2,,,3,2,,
Mn,2,208.684,0.0015,208.68487,0.00013,30*,,,2,3,,
Mn,2,208.684,0.0015,208.6863,0.0007,30i*,,,1,1,,
Mn,2,208.891,0.0015,208.8924,0.0003,40,7.e+07,D,5,5,,
Mn,2,208.929,0.0015,208.9296,0.0003,10,,,4,5,,
Mn,3,209.005,,,,600,,,,,,
Mn,3,209.025,,,,300,,,,,,
Mn,1,209.216,,,,1500,,,,,,
