element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
N,5,,,201.554,,,3.63e+07,B,,
N,5,,,201.610,,,3.03e+07,B,,
N,5,,,201.648,,,6.05e+06,B,,
N,3,,,202.919,,,3.96e+05,C+,,
N,3,,,202.926,,,1.98e+06,B,,
N,3,,,203.253,,,1.58e+06,B,,
N,3,,,203.261,,,7.88e+05,C+,,
N,4,,,203.557,,,2.37e+08,B,,
N,4,,,203.562,,,5.91e+07,B,,
N,4,,,203.562,,,6.57e+06,B,,
N,4,,,203.610,,,1.77e+08,B,,
N,4,,,203.610,,,9.85e+07,B,,
N,4,,,203.643,,,1.31e+08,B,,
N,5,,,204.352,,,1.29e+07,B,,
N,5,,,204.391,,,2.58e+07,B,,
N,2,,,204.4761,,,2.11e+07,B,,
N,5,,,205.531,,,1.06e+06,B,,
N,5,,,205.539,,,1.06e+07,B,,
N,5,,,205.540,,,9.57e+06,B,,
N,6,,,205.96,0.04,,1.164e+08,AA,,
N,3,206.401,,,,200,,,,
N,3,206.442,,,,250,,,,
N,2,,,206.4989,,,1.79e+05,D,,
N,3,206.868,,,,120,,,,
N,3,207.109,,,,90,,,,
N,2,,,207.6947,,,5.31e+06,C+,,
N,2,,,207.9970,,,5.09e+06,C+,,
N,4,208.034,,208.032,,90,7.36e+08,B,,
N,2,,,208.1120,,,5.27e+06,C+,,
N,2,,,208.8657,,,5.05e+05,C,,
N,2,,,209.1312,,,7.54e+06,C+,,
N,2,,,209.4190,,,1.25e+07,C+,,
N,2,209.553,,209.5529,,160,4.20e+07,C+,,
N,2,209.620,,209.6198,,70,4.99e+07,C+,,
N,2,209.686,,209.6859,,110,3.74e+07,C+,,
N,3,,,210.647,,,1.73e+07,B,,
N,3,,,210.757,,,3.45e+07,B,,
N,3,,,211.652,,,3.73e+06,C+,,
N,3,211.759,,211.758,,90,9.94e+07,C+,,
N,3,212.150,,212.150,,90,1.00e+08,C+,,
N,3,,,212.257,,,4.94e+06,C+,,
N,2,213.018,,213.0180,,110,2.42e+07,B,,
N,2,,,213.901,,,5.15e+01,B,,
N,3,,,214.163,,,5.75e+05,B,,
N,2,214.278,,214.277,,160,1.27e+02,B,,
N,3,,,214.282,,,9.90e+05,C,,
N,3,,,214.282,,,4.72e+04,D,,
N,3,,,214.287,,,9.43e+05,C,,
N,3,,,214.402,,,1.13e+07,B,,
N,3,,,214.411,,,1.05e+06,B,,
N,3,,,214.556,,,1.75e+06,B,,
N,3,,,214.569,,,1.92e+07,B,,
N,3,,,214.656,,,1.57e+07,B,,
N,3,,,214.692,,,2.21e+07,B,,
N,3,214.731,,214.731,,90,9.84e+07,B,,
N,3,,,214.739,,,4.36e+06,B,,
N,3,,,214.785,,,6.97e+07,B,,
N,3,,,214.799,,,2.79e+07,B,,
N,3,,,214.809,,,8.99e+07,B,,
N,3,,,214.851,,,8.84e+07,B,,
N,3,,,214.899,,,5.48e+07,B,,
N,3,,,214.902,,,1.10e+08,B,,
N,3,,,214.945,,,4.35e+07,B,,
N,3,,,215.006,,,4.34e+07,B,,
N,4,,,215.047,,,5.88e+01,B,E2,
N,2,,,215.9927,,,1.23e+07,B,,
N,2,,,217.749,,,1.72e-03,C,M1,
N,2,,,217.753,,,2.89e-03,C,M1,
N,2,,,217.781,,,2.31e-03,C,M1,
N,3,218.820,,,,200,,,,
N,3,218.838,,,,150,,,,
N,2,,,219.7506,,,7.00e+06,C+,,
N,5,,,219.832,,,2.11e+07,B,,
N,5,,,219.845,,,2.11e+07,B,,
N,2,,,220.3632,,,6.94e+06,C+,,
N,2,,,220.5855,,,6.92e+06,C+,,
N,2,220.609,,220.6087,,160,7.04e+06,B,,
N,3,,,221.578,,,4.06e+05,C+,,
N,3,,,221.696,,,4.05e+04,D,,
N,3,,,221.801,,,4.05e+05,C+,,
N,3,,,221.919,,,2.59e+05,C+,,
N,3,,,221.937,,,3.88e+06,B,,
N,3,,,221.937,,,1.94e+06,B,,
N,4,,,221.961,,,4.68e+03,B,,
N,4,,,221.961,,,1.12e-03,C+,M2,
N,3,,,222.160,,,3.10e+06,B,,
N,3,,,222.160,,,3.87e+06,B,,
N,3,,,222.160,,,1.81e+06,B,,
N,3,,,222.160,,,1.61e+04,D,,
N,3,,,222.220,,,5.07e+05,B,,
N,3,,,222.463,,,4.42e+06,B,,
N,3,,,222.463,,,2.70e+06,B,,
N,3,,,222.463,,,1.10e+06,B,,
N,3,,,222.463,,,1.44e+05,C+,,
N,4,,,222.578,,,7.96e+01,B,,
N,4,,,222.578,,,6.12e-04,C+,M2,
N,3,,,222.901,,,6.57e+06,B,,
N,3,,,222.901,,,1.46e+06,B,,
N,3,,,222.901,,,6.38e+05,B,,
N,4,,,222.938,,,1.24e+03,B,,
N,3,,,223.162,,,3.28e+06,B,,
N,3,,,223.722,,,3.91e+06,B,,
N,3,,,223.728,,,6.51e+05,B,,
N,3,,,224.280,,,5.43e+07,C+,,
N,3,,,224.441,,,5.80e+07,C+,,
N,3,,,224.441,,,3.87e+06,C+,,
N,3,,,224.767,,,1.09e+07,B,,
N,3,,,224.795,,,9.84e+07,B,,
N,3,,,224.893,,,1.09e+08,B,,
N,3,,,225.606,,,6.26e+05,B,,
N,3,,,225.616,,,2.51e+06,B,,
N,3,,,225.881,,,3.12e+06,B,,
N,3,,,225.891,,,1.25e+06,B,,
N,3,,,226.589,,,3.19e+06,B,,
N,3,,,226.733,,,1.91e+07,B,,
N,3,,,226.932,,,5.20e+06,B,,
N,3,,,227.044,,,1.28e+07,B,,
N,3,,,227.180,,,5.55e+06,B,,
N,3,,,227.188,,,4.22e+06,B,,
N,3,,,227.247,,,8.87e+06,B,,
N,3,,,227.359,,,7.75e+06,B,,
N,3,,,227.414,,,1.11e+07,B,,
N,3,,,227.482,,,1.11e+07,B,,
N,2,,,228.3639,,,7.66e+06,C+,,
N,2,,,228.5304,,,3.55e+05,C,,
N,2,,,228.6618,,,2.64e+05,C,,
N,2,,,228.6675,,,1.77e+06,C+,,
N,2,228.669,,228.6687,,160,2.29e+07,C+,,
N,2,228.844,,228.8405,,110,1.01e+07,C+,,
N,2,,,228.8483,,,1.64e+06,C+,,
N,2,,,228.9857,,,5.89e+05,C,,
N,2,,,229.0255,,,7.59e+06,C+,,
N,2,,,229.1660,,,2.09e+06,C+,,
N,2,,,229.2657,,,3.03e+07,C+,,
N,2,,,229.3320,,,1.26e+07,C+,,
N,2,,,229.3534,,,3.66e+05,C,,
N,3,,,230.161,,,2.55e+07,B,,
N,3,,,230.289,,,2.55e+07,B,,
N,3,,,230.549,,,2.54e+07,B,,
N,3,,,231.460,,,7.03e+06,B,,
N,5,,,231.623,,,4.99e+07,B,,
N,2,231.649,,231.6489,,220,1.75e+07,C+,,
N,2,231.669,,231.6680,,160,1.65e+07,C+,,
N,2,231.705,,231.7039,,285,1.97e+07,C+,,
N,5,,,231.706,,,4.15e+07,B,,
N,3,,,231.744,,,4.50e+06,B,,
N,3,,,231.754,,,3.00e+06,B,,
N,5,,,231.757,,,8.30e+06,B,,
N,4,231.809,,,,90w,,,,
N,2,,,231.9947,,,3.06e+06,C+,,
N,3,,,232.038,,,1.33e+06,B,,
N,2,,,232.1664,,,2.18e+06,C+,,
N,3,,,232.226,,,4.14e+06,B,,
N,3,,,232.279,,,8.28e+06,B,,
N,3,,,232.406,,,4.74e+05,B,,
N,3,,,232.460,,,7.76e+05,B,,
N,3,,,232.468,,,1.65e+06,B,,
N,2,,,232.5137,,,8.57e+04,D,,
N,3,,,232.556,,,8.30e+05,B,,
N,2,,,232.6340,,,1.83e+07,B,,
N,3,,,232.758,,,1.66e+06,B,,
N,3,,,232.790,,,1.90e+06,B,,
N,3,,,232.801,,,1.32e+06,B,,
