element,sp_num,obs_wl_air(nm),ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
O,4,,200.496,,,8.54e+05,B,1/2,3/2,,
O,4,,200.669,,,4.26e+06,B,3/2,3/2,,
O,4,,200.750,,,3.40e+06,B,1/2,1/2,,
O,4,,200.923,,,1.70e+06,B,3/2,1/2,,
O,3,201.327,,,360,,,,,,
O,2,201.6589,201.65822,,10,8.57e+06,C,3/2,5/2,,
O,2,202.0340,202.03299,,12,1.99e+07,C,5/2,5/2,,
O,2,202.1445,202.14364,,10,1.18e+07,C,1/2,3/2,,
O,2,202.2768,202.2800,,10,,,5/2,3/2,,
O,2,,202.2788,,,,,5/2,5/2,,
O,2,202.3332,202.33250,,10,3.77e+06,C,3/2,3/2,,
O,2,202.3740,202.3755,,12bl,,,7/2,5/2,,
O,2,202.5694,202.57048,,5,4.70e+06,C,1/2,1/2,,
O,1,,202.643,,,2.82e+05,C,1,2,,
O,1,,202.643,,,1.05e+05,D,1,1,,
O,1,,202.646,,,3.70e+05,C,2,3,,
O,1,,202.646,,,1.92e+05,D,0,1,,
O,1,,202.646,,,4.85e+04,D,2,2,,
O,3,202.696,,,160,,,,,,
O,2,202.7103,202.70978,,10,1.27e+07,C,5/2,3/2,,
O,2,202.7603,202.76014,,10,2.34e+07,C,3/2,1/2,,
O,2,,202.8727,,,2.26e+06,D,3/2,5/2,,
O,4,,203.518,,,2.07e+07,B,5/2,7/2,,
O,2,,203.5801,,,3.73e+05,E,3/2,3/2,,
O,3,,203.7450,,,2.26e+06,D,0,1,,
O,3,,204.0769,,,3.04e+06,C,1,2,,
O,4,,204.145,,,1.91e+07,B,3/2,5/2,,
O,3,,204.1973,,,1.69e+06,D,1,1,,
O,3,,204.228,,,2.18e+07,C+,1,2,,
O,4,,204.266,,,1.36e+06,B,5/2,5/2,,
O,2,,204.2809,,,1.85e+06,D,1/2,3/2,,
O,3,204.567,,,220,,,,,,
O,3,,205.0080,,,4.00e+06,C,2,3,,
O,3,,205.2167,,,9.97e+05,D,2,2,,
O,3,205.274,,,160,,,,,,
O,3,,205.309,,,3.97e+06,C,1,1,,
O,3,,205.309,,,7.93e+05,D,1,2,,
O,3,,205.3385,,,1.11e+05,D,2,1,,
O,3,,205.762,,,3.66e+06,C,2,2,,
O,3,,205.762,,,1.31e+06,D,2,1,,
O,3,,205.762,,,5.85e+05,D,2,3,,
O,3,,206.642,,,4.61e+06,C,3,3,,
O,3,,206.642,,,8.09e+05,D,3,2,,
O,2,207.22,207.2255,,12bl,3.30e+06,C+,5/2,3/2,,
O,2,207.2601,207.2601,,5,3.61e+05,C+,3/2,3/2,,
O,2,207.4104,207.4133,,8,,,5/2,5/2,,
O,2,,207.4145,,,,,5/2,3/2,,
O,2,,207.5053,,,,,3/2,5/2,,
O,2,207.5058,207.5065,,8,,,3/2,3/2,,
O,2,207.5169,207.5172,,12,3.55e+06,C+,3/2,1/2,,
O,4,,207.933,,,1.71e+06,B,1/2,1/2,,
O,4,,208.206,,,8.52e+05,C+,3/2,1/2,,
O,4,,208.580,,,4.24e+05,C+,1/2,3/2,,
O,4,,208.854,,,2.11e+06,B,3/2,3/2,,
O,2,209.2876,209.2876,,10,6.69e+06,C,3/2,3/2,,
O,2,,209.2896,,,4.96e+05,D,3/2,5/2,,
O,2,209.9880,209.9872,,8,,,1/2,3/2,,
O,2,210.0069,210.0071,,7*,,,5/2,7/2,,
O,2,210.0069,210.0080,,7*,,,3/2,5/2,,
O,2,210.0664,210.0725,,8,,,7/2,9/2,,
O,2,,210.1263,,,7.35e+05,D,5/2,3/2,,
O,2,210.1283,210.1283,,12,6.86e+06,C,5/2,5/2,,
O,2,210.2325,210.2324,,6,,,3/2,3/2,,
O,2,210.4133,210.4128,,6,,,5/2,5/2,,
O,2,,210.5584,,,,,7/2,7/2,,
O,4,,210.619,,,1.26e+07,B,1/2,1/2,,
O,2,,210.6381,,,,,5/2,3/2,,
O,4,,210.899,,,2.51e+07,B,3/2,1/2,,
O,2,,210.9662,,,,,7/2,5/2,,
O,4,,211.028,,,8.79e+07,B,3/2,3/2,,
O,2,,211.1198,,,1.08e+05,E,5/2,5/2,,
O,4,,211.211,,,1.97e+05,C+,1/2,3/2,,
O,2,,211.2251,,,2.15e+06,D,7/2,5/2,,
O,4,,211.273,,,2.36e+05,C+,3/2,5/2,,
O,4,,211.402,,,3.93e+04,D,3/2,3/2,,
O,2,,211.5280,,,2.25e+06,D,5/2,3/2,,
