
Integration time [ms]:   4,000
Nr. of StoreToRam scans: 15
Smoothing Nr. [pixels]: 0
Data measured with spectrometer [name]: 1011037U2
Measurement mode: Scope
Units: [counts]
Wave   ;Dark     ;Reference;Samples
[nm]   ;[counts] ;[counts] ;  Scan  1;  Scan  2;  Scan  3;  Scan  4;  Scan  5;  Scan  6;  Scan  7;  Scan  8;  Scan  9;  Scan 10;  Scan 11;  Scan 12;  Scan 13;  Scan 14;  Scan 15
       ;         ;         ;        0;      400;      800;     1200;     1600;     2000;     2400;     2800;     3200;     3600;     4000;     4400;     4800;     5200;     5600
 408,37;  174,600;   26,250;  988,000;  983,000;  970,000; 1011,000; 1601,000; 1458,000; 1684,000; 1752,000; 1530,000; 1691,000; 1810,000; 1537,000; 1113,000;  972,000;  989,000
 408,42;  185,800;  -11,500;  917,000;  892,000;  907,000; 1138,000; 1785,000; 1665,000; 2042,000; 1982,000; 1938,000; 2164,000; 2019,000; 1764,000; 1116,000;  975,000; 1002,000
 408,48;  265,000;   -1,250;  964,000;  978,000;  943,000; 1183,000; 1861,000; 1777,000; 1986,000; 2018,000; 1994,000; 2135,000; 2145,000; 1699,000; 1125,000; 1090,000;  908,000
 408,53;  225,000;   48,250;  955,000;  984,000;  957,000; 1037,000; 1617,000; 1488,000; 1755,000; 1685,000; 1725,000; 1717,000; 1923,000; 1542,000; 1117,000;  944,000;  988,000
 408,59;  158,200;  -12,500;  920,000;  975,000; 1000,000; 1025,000; 1203,000; 1275,000; 1215,000; 1364,000; 1324,000; 1438,000; 1418,000; 1252,000; 1040,000; 1019,000;  970,000
 408,64;  143,400;   10,500;  922,000;  953,000;  927,000;  965,000; 1146,000; 1161,000; 1230,000; 1188,000; 1167,000; 1237,000; 1193,000; 1112,000; 1002,000;  988,000;  976,000
 408,69;  182,600;   11,000; 1024,000;  936,000;  943,000; 1045,000; 1096,000;  986,000; 1219,000; 1205,000; 1183,000; 1212,000; 1165,000; 1208,000;  980,000;  913,000;  943,000
 408,75;  146,200;   33,000;  942,000;  973,000; 1001,000; 1029,000; 1108,000; 1204,000; 1169,000; 1257,000; 1227,000; 1103,000; 1164,000; 1177,000;  978,000; 1007,000; 1018,000
 408,80;  166,200;   -8,500;  921,000; 1026,000;  980,000; 1046,000; 1162,000; 1072,000; 1141,000; 1210,000; 1156,000; 1080,000; 1077,000; 1105,000; 1038,000;  944,000;  984,000
 408,86;  225,800;    7,250;  916,000;  989,000;  892,000; 1014,000; 1189,000; 1141,000; 1237,000; 1212,000; 1132,000; 1135,000; 1115,000; 1136,000; 1058,000;  933,000;  943,000
 408,91;  281,400;  -41,000;  979,000;  966,000; 1013,000; 1088,000; 1247,000; 1250,000; 1203,000; 1222,000; 1149,000; 1222,000; 1254,000; 1082,000; 1017,000;  960,000;  902,000
 408,97;  277,400;   25,250;  968,000; 1016,000; 1003,000; 1050,000; 1128,000; 1229,000; 1197,000; 1272,000; 1163,000; 1142,000; 1152,000; 1146,000;  992,000;  994,000;  991,000
 409,02;  165,800;   -4,000;  927,000;  924,000;  926,000; 1078,000; 1152,000; 1110,000; 1230,000; 1208,000; 1183,000; 1209,000; 1224,000; 1120,000;  965,000;  917,000; 1021,000
 409,08;   73,400;   18,500;  940,000;  967,000;  926,000;  969,000; 1047,000; 1116,000; 1196,000; 1209,000; 1226,000; 1154,000; 1206,000; 1138,000;  971,000;  948,000;  900,000
 409,13;  120,000;   33,000;  982,000; 1038,000;  896,000;  989,000; 1156,000; 1132,000; 1274,000; 1186,000; 1182,000; 1277,000; 1175,000; 1100,000; 1047,000;  918,000; 1003,000
 409,19;  117,800;   15,250;  977,000;  915,000; 1016,000; 1018,000; 1143,000; 1115,000; 1159,000; 1119,000; 1212,000; 1211,000; 1219,000; 1141,000; 1026,000;  954,000;  931,000
 409,24;  164,400;   11,000;  906,000;  922,000;  931,000; 1001,000; 1114,000; 1156,000; 1226,000; 1278,000; 1175,000; 1243,000; 1210,000; 1135,000; 1064,000;  991,000;  947,000
 409,29;  215,400;   12,750;  955,000;  928,000;  927,000; 1065,000; 1178,000; 1173,000; 1087,000; 1194,000; 1185,000; 1218,000; 1204,000; 1208,000; 1066,000;  958,000;  978,000
 409,35;  209,600;  -23,500;  902,000; 1003,000;  959,000; 1038,000; 1163,000; 1116,000; 1212,000; 1186,000; 1161,000; 1249,000; 1147,000; 1047,000; 1051,000;  964,000;  940,000
 409,40;  140,400;   -8,500;  971,000;  943,000;  908,000; 1042,000; 1118,000; 1084,000; 1255,000; 1141,000; 1229,000; 1202,000; 1179,000; 1114,000;  919,000; 1039,000;  937,000
 409,46;  182,600;   -4,250;  976,000; 1013,000;  892,000;  979,000; 1259,000; 1067,000; 1205,000; 1241,000; 1216,000; 1111,000; 1309,000; 1132,000; 1003,000; 1019,000;  929,000
 409,51;  283,200;  -18,250;  917,000;  965,000;  953,000; 1104,000; 1251,000; 1178,000; 1345,000; 1271,000; 1215,000; 1231,000; 1229,000; 1251,000; 1014,000; 1047,000;  975,000
 409,57;  363,000;   27,750;  943,000; 1012,000;  931,000; 1102,000; 1293,000; 1270,000; 1359,000; 1483,000; 1460,000; 1395,000; 1394,000; 1280,000; 1105,000; 1015,000;  995,000
 409,62;  515,400;   -2,500;  921,000;  935,000;  947,000; 1107,000; 1565,000; 1370,000; 1438,000; 1495,000; 1518,000; 1516,000; 1463,000; 1311,000; 1061,000; 1032,000; 1008,000
 409,67;  673,800;   34,500;  915,000; 1015,000;  992,000; 1095,000; 1589,000; 1432,000; 1587,000; 1600,000; 1560,000; 1573,000; 1615,000; 1437,000; 1027,000; 1087,000; 1002,000
 409,73;  931,000;    5,500;  968,000;  960,000;  916,000; 1189,000; 1611,000; 1597,000; 1788,000; 1690,000; 1780,000; 1817,000; 1702,000; 1536,000; 1147,000; 1007,000;  994,000
 409,78;  752,000;   -5,250;  958,000;  964,000;  940,000; 1236,000; 1633,000; 1721,000; 1958,000; 2061,000; 1785,000; 1989,000; 2106,000; 1627,000; 1215,000; 1071,000; 1015,000
 409,84;  272,600;   -6,250;  885,000; 1012,000;  951,000; 1273,000; 1632,000; 1535,000; 1759,000; 1809,000; 1774,000; 1897,000; 1903,000; 1684,000; 1192,000;  957,000; 1027,000
 409,89;  160,800;   12,000;  992,000;  967,000;  977,000; 1231,000; 1350,000; 1281,000; 1539,000; 1583,000; 1589,000; 1574,000; 1621,000; 1281,000; 1162,000; 1066,000;  996,000
 409,95;  172,600;   21,500;  921,000;  989,000;  882,000; 1279,000; 1308,000; 1272,000; 1389,000; 1326,000; 1400,000; 1334,000; 1357,000; 1270,000; 1037,000; 1079,000; 1015,000
 410,00;  234,000;  -11,250;  940,000;  952,000;  976,000; 1392,000; 1467,000; 1322,000; 1492,000; 1529,000; 1516,000; 1546,000; 1523,000; 1422,000; 1167,000; 1143,000; 1155,000
 410,05;  275,800;   16,750;  867,000;  930,000;  932,000; 1636,000; 1626,000; 1504,000; 1613,000; 1662,000; 1680,000; 1592,000; 1753,000; 1631,000; 1273,000; 1219,000; 1179,000
 410,11;  275,200;  -21,250;  906,000;  916,000; 1007,000; 1454,000; 1564,000; 1461,000; 1533,000; 1556,000; 1509,000; 1538,000; 1589,000; 1504,000; 1216,000; 1116,000; 1219,000
 410,16;  216,200;    5,750;  926,000;  981,000;  924,000; 1247,000; 1281,000; 1286,000; 1367,000; 1393,000; 1300,000; 1409,000; 1386,000; 1280,000; 1141,000; 1005,000; 1024,000
 410,22;  253,600;   17,000;  984,000;  938,000;  973,000; 1079,000; 1178,000; 1160,000; 1256,000; 1235,000; 1192,000; 1161,000; 1236,000; 1183,000; 1084,000; 1019,000;  965,000
 410,27;  321,400;   17,000;  932,000;  990,000; 1036,000;  946,000; 1151,000; 1173,000; 1116,000; 1288,000; 1212,000; 1227,000; 1275,000; 1119,000;  969,000; 1055,000;  981,000
 410,33;  467,400;   -8,500;  993,000;  949,000; 1000,000; 1124,000; 1195,000; 1226,000; 1344,000; 1277,000; 1318,000; 1164,000; 1276,000; 1125,000; 1028,000;  979,000;  955,000
 410,38;  387,400;   15,750;  909,000;  948,000;  905,000; 1051,000; 1212,000; 1166,000; 1238,000; 1284,000; 1376,000; 1209,000; 1340,000; 1134,000; 1072,000;  884,000;  997,000
 410,43;  251,800;   15,250;  905,000;  994,000;  918,000; 1087,000; 1298,000; 1243,000; 1337,000; 1280,000; 1270,000; 1254,000; 1247,000; 1146,000; 1000,000; 1044,000;  908,000
 410,49;  179,600;    0,250;  950,000;  961,000; 1000,000; 1035,000; 1133,000; 1126,000; 1202,000; 1211,000; 1232,000; 1292,000; 1200,000; 1167,000; 1006,000;  951,000;  990,000
 410,54;  153,400;   23,000;  872,000;  931,000;  876,000; 1043,000; 1151,000; 1080,000; 1196,000; 1214,000; 1270,000; 1193,000; 1227,000; 1113,000;  938,000;  965,000; 1000,000
 410,60;   88,200;    1,500;  858,000; 1030,000;  892,000;  996,000; 1167,000; 1031,000; 1210,000; 1136,000; 1145,000; 1098,000; 1166,000; 1086,000; 1036,000;  927,000;  941,000
 410,65;   43,600;    1,750;  972,000;  890,000;  992,000; 1053,000; 1182,000; 1125,000; 1149,000; 1108,000; 1186,000; 1186,000; 1262,000; 1199,000;  974,000; 1014,000;  924,000
 410,70;   69,800;  -22,750; 1060,000; 1017,000;  949,000;  989,000; 1259,000; 1141,000; 1210,000; 1342,000; 1261,000; 1313,000; 1281,000; 1227,000; 1030,000;  952,000;  960,000
 410,76;   69,000;   -0,500;  919,000;  980,000;  916,000;  979,000; 1244,000; 1209,000; 1355,000; 1337,000; 1350,000; 1354,000; 1302,000; 1233,000;  985,000; 1007,000;  921,000
 410,81;   81,000;    4,750; 1022,000;  949,000; 1008,000; 1043,000; 1249,000; 1174,000; 1260,000; 1317,000; 1321,000; 1328,000; 1337,000; 1132,000;  985,000;  976,000;  946,000
 410,87;   72,200;    2,500;  953,000;  925,000;  966,000; 1000,000; 1237,000; 1117,000; 1305,000; 1264,000; 1260,000; 1357,000; 1325,000; 1201,000; 1030,000;  907,000;  954,000
 410,92;   73,400;   22,750;  960,000;  983,000;  984,000;  952,000; 1253,000; 1324,000; 1344,000; 1486,000; 1363,000; 1461,000; 1463,000; 1279,000; 1057,000; 1003,000;  998,000
 410,98;  123,400;    1,000;  932,000; 1004,000;  952,000;  936,000; 1395,000; 1400,000; 1483,000; 1405,000; 1468,000; 1414,000; 1602,000; 1311,000; 1057,000; 1000,000;  936,000
 411,03;  112,600;   29,750;  969,000;  944,000; 1004,000; 1001,000; 1470,000; 1400,000; 1647,000; 1686,000; 1609,000; 1651,000; 1627,000; 1398,000; 1056,000;  933,000;  918,000
 411,08;  148,200;  -12,250;  955,000; 1068,000;  934,000; 1041,000; 1558,000; 1611,000; 1788,000; 1858,000; 1678,000; 1804,000; 1852,000; 1582,000; 1182,000; 1042,000; 1041,000
 411,14;  118,000;   10,250;  908,000;  886,000;  977,000; 1064,000; 1666,000; 1554,000; 1836,000; 1956,000; 1822,000; 1788,000; 1888,000; 1634,000; 1089,000; 1051,000;  919,000
 411,19;  113,400;   -4,750;  946,000;  983,000;  928,000;  990,000; 1456,000; 1510,000; 1516,000; 1719,000; 1653,000; 1708,000; 1883,000; 1457,000; 1180,000; 1025,000;  979,000
 411,25;   77,200;    0,250;  924,000;  910,000;  930,000; 1096,000; 1387,000; 1438,000; 1413,000; 1550,000; 1442,000; 1609,000; 1531,000; 1265,000; 1088,000;  966,000;  912,000
 411,30;   84,600;    8,000;  964,000;  918,000;  906,000; 1026,000; 1327,000; 1318,000; 1515,000; 1601,000; 1550,000; 1575,000; 1663,000; 1485,000; 1042,000;  948,000;  887,000
