element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,diag_lines,
Ar,2,199.99988,0.00004,199.999919,0.000006,10,,,3/2,5/2,,,
Ar,2,200.3325,0.0006,200.331919,0.000006,1,,,1/2,1/2,,,
Ar,2,200.39101,0.00004,200.390976,0.000009,10,,,3/2,5/2,,,
Ar,2,200.49162,0.00002,200.491595,0.000005,17,,,7/2,5/2,,,
Ar,3,200.68505,0.00009,200.68507,0.00008,5,,,2,1,,,
Ar,4,200.689,0.001,200.6907,0.0015,6,,,1/2,3/2,,,
Ar,2,200.7178,0.0006,200.716909,0.000006,1,,,3/2,5/2,,,
Ar,2,201.1141,0.0006,201.113972,0.000006,1,,,1/2,3/2,,,
Ar,2,201.4311,0.0006,201.430870,0.000005,1,,,3/2,3/2,,,
Ar,2,201.53171,0.00008,201.531681,0.000005,6,,,5/2,3/2,,,
Ar,2,201.87552,0.00006,201.875523,0.000005,6,,,5/2,3/2,,,
Ar,2,202.176,0.002,202.17457,0.00005,0.5,,,1/2,3/2,,,
Ar,2,202.273,0.002,202.274361,0.000005,1,,,5/2,5/2,,,
Ar,2,202.31164,0.00005,202.311608,0.000005,9,,,5/2,7/2,,,
Ar,2,202.4733,0.0006,202.476857,0.000005,2,,,3/2,1/2,,,
Ar,2,202.51844,0.00004,202.518429,0.000006,10,,,3/2,5/2,,,
Ar,2,202.6602,0.0006,202.660672,0.000005,2,,,3/2,3/2,,,
Ar,2,202.8558,0.0006,202.856745,0.000006,1,,,3/2,5/2,,,
Ar,2,203.21774,0.00005,203.217775,0.000005,9,,,3/2,5/2,,,
Ar,2,203.47624,0.00006,203.476255,0.000006,6,,,3/2,5/2,,,
Ar,2,203.5629,0.0006,203.560790,0.000004,0.5,,,3/2,3/2,,,
Ar,2,203.94919,0.00001,203.949186,0.000004,26,,,9/2,7/2,,,
Ar,2,204.23607,0.00002,204.236054,0.000005,21,,,7/2,5/2,,,
Ar,2,204.6155,0.0006,204.615789,0.000004,0.5,,,3/2,3/2,,,
Ar,2,204.64925,0.00003,204.649276,0.000006,14,,,1/2,3/2,,,
Ar,2,204.79994,0.00010,204.799982,0.000005,5,,,3/2,5/2,,,
Ar,2,205.03242,0.00008,205.032402,0.000005,5,,,5/2,5/2,,,
Ar,2,205.07924,0.00001,205.079243,0.000005,83,,,5/2,7/2,,,
Ar,2,205.75127,0.00001,205.751267,0.000005,91,,,3/2,5/2,,,
Ar,2,205.80835,0.00002,205.808320,0.000006,22,,,3/2,3/2,,,
Ar,4,205.882,0.001,205.8818,0.0011,0.5,,,3/2,3/2,,,
Ar,2,205.91973,0.00011,205.919705,0.000004,6,,,5/2,3/2,,,
Ar,2,206.0079,0.0006,206.007466,0.000005,1,,,3/2,1/2,,,
Ar,2,206.0855,0.0006,206.085173,0.000008,0.5,,,1/2,3/2,,,
Ar,4,206.189,0.001,206.1884,0.0011,4,,,3/2,5/2,,,
Ar,2,206.37647,0.00004,206.376514,0.000005,8,,,5/2,5/2,,,
Ar,3,206.4150,0.0020,206.416,0.003,1,,,1,2,,,
Ar,2,206.42110,0.00001,206.421105,0.000005,123,,,5/2,7/2,,,
Ar,2,207.34254,0.00001,207.342531,0.000004,43,,,5/2,5/2,,,
Ar,2,207.4003,0.0006,207.400469,0.000006,1,,,5/2,3/2,,,
Ar,2,207.61840,0.00008,207.618356,0.000005,7,,,3/2,5/2,,,
Ar,2,207.96530,0.00001,207.965303,0.000006,68,,,1/2,3/2,,,
Ar,2,208.03555,0.00001,208.035549,0.000007,89,,,1/2,1/2,,,
Ar,2,208.21077,0.00004,208.210791,0.000005,12,,,3/2,5/2,,,
Ar,2,208.6816,0.0006,208.681189,0.000004,2,,,5/2,3/2,,,
Ar,2,208.7718,0.0006,208.771598,0.000004,1,,,3/2,3/2,,,
Ar,2,209.16231,0.00001,209.162310,0.000005,89,,,3/2,3/2,,,
Ar,2,209.16405,0.00002,209.164041,0.000004,21,,,7/2,5/2,,,
