element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Type,
C,3,,,199.9953,,,1.50e-03,B,M1,
C,2,,,200.02,0.03,,2.4e+07,C,,
C,3,,,200.0901,,,3.30e-03,E,M1,
C,3,,,200.0901,,,6.01e-05,D,E2,
C,3,,,200.3161,,,1.87e-03,B,M1,
C,3,,,200.3161,,,4.91e-05,D,E2,
C,3,,,200.9335,,,7.69e+07,B,,
C,3,,,200.9564,,,2.30e+08,B,,
C,3,,,201.0093,,,3.84e+08,B,,
C,2,201.794,0.004,201.7926,0.0003,76ql,1.32e+07,B,,
C,2,201.838,0.004,201.8380,0.0003,99ql,2.63e+07,B,,
C,2,,,202.31297,0.00012,,6.42e+05,B,,
C,2,,,202.32366,0.00016,,4.64e+05,B,,
C,2,,,202.38212,0.00020,,2.6e+05,C,,
C,2,,,202.40958,0.00012,,2.1e+05,C+,,
C,2,,,202.47879,0.00021,,1.28e+06,B,,
C,2,,,202.50808,0.00016,,1.08e+06,B,,
C,2,,,202.59416,0.00012,,6.94e+05,B,,
C,2,,,203.774,0.003,,1.9e+06,E,,
C,2,,,203.8096,0.0006,,2.37e+06,B,,
C,2,,,203.834,0.003,,5.e+06,E,,
C,2,,,203.9052,0.0025,,8.e+06,E,,
C,2,,,203.938,0.003,,4.e+06,E,,
C,2,,,204.0065,0.0017,,2.37e+06,B,,
C,2,,,204.007,0.005,,1.1e+07,C,,
C,2,,,204.0565,0.0025,,2.3e+06,E,,
C,2,,,204.100,0.003,,2.36e+06,B,,
C,4,,,204.513,,,1.08e+07,B,,
C,4,,,204.543,,,2.17e+07,B,,
C,2,,,204.84971,0.00013,,1.10e+06,B,,
C,2,,,204.94875,0.00010,,2.19e+06,B,,
C,2,,,205.13799,0.00013,,3.28e+06,B,,
C,3,,,205.1609,,,1.22e+08,B,,
C,2,205.179,0.006,205.179,0.008,87h*,4.42e+07,B,,
C,2,205.179,0.006,205.179,0.013,87h*,3.61e+07,B,,
C,2,205.179,0.006,205.181,0.013,87h*,3.87e+07,B,,
C,2,205.216,0.004,205.2184,0.0004,86h,5.15e+07,B,,
C,2,,,205.240,0.013,,1.44e+07,B,,
C,2,,,205.286,0.013,,1.25e+07,B,,
C,2,,,205.332,0.008,,7.34e+06,B,,
C,2,,,205.345,0.013,,1.03e+06,B,,
C,2,,,205.439,0.013,,4.98e+05,B,,
C,3,,,206.140,,,3.68e+05,D,,
C,3,,,206.140,,,4.10e+04,D,,
C,3,,,206.140,,,8.27e+02,D,,
C,3,,,206.165,,,3.27e+05,D,,
C,3,,,206.165,,,2.93e+04,D,,
C,3,,,206.200,,,3.38e+05,C,,
C,4,,,206.428,,,7.28e+05,B,,
C,4,,,206.433,,,7.28e+06,B,,
C,4,,,206.436,,,6.55e+06,B,,
C,3,,,206.485,,,6.88e+07,B,,
C,6,,,206.884932,0.000004,,4.8547e+08,AA,,
C,6,,,206.892035,0.000004,,3.1465e+08,AA,,
C,6,,,206.955958,0.000004,,1.1605e+08,AA,,
C,6,,,206.967388,0.000004,,3.1539e+08,AA,,
C,6,,,206.989879,0.000004,,8.7565e+08,AA,,
C,6,,,206.990055,0.000004,,5.8295e+08,AA,,
C,6,,,207.014821,0.000004,,1.2449e+07,AA,,
C,6,,,207.015172,0.000004,,9.7212e+07,AA,,
C,6,,,207.020672,0.000004,,1.3832e+09,AA,,
C,6,,,207.020727,0.000004,,9.3821e+08,AA,,
C,6,,,207.033161,0.000004,,2.4145e+06,AA,,
C,6,,,207.033286,0.000004,,6.2558e+07,AA,,
C,6,,,207.034813,0.000004,,2.0865e+09,AA,,
C,6,,,207.034839,0.000004,,1.4344e+09,AA,,
C,6,,,207.042310,0.000004,,4.0987e+05,AA,,
C,6,,,207.042375,0.000004,,5.1227e+07,AA,,
C,6,,,207.042811,0.000004,,2.1338e+09,AA,,
C,6,,,207.047835,0.000004,,4.7414e+07,AA,,
C,6,,,207.054867,0.000004,,4.8329e+07,AA,,
C,6,,,207.054872,0.000004,,1.4770e+07,AA,,
C,6,,,207.055333,0.000004,,1.4354e+07,AA,,
C,6,,,207.058239,0.000004,,1.1219e+08,AA,,
C,6,,,207.058289,0.000004,,5.0792e+07,AA,,
C,6,,,207.086288,0.000004,,2.3287e+08,AA,,
C,6,,,207.090264,0.000004,,1.2504e+08,AA,,
C,3,,,208.947,,,2.50e+07,B,,
C,3,,,208.957,,,3.37e+07,B,,
C,3,,,208.957,,,1.87e+07,B,,
C,3,,,208.978,,,4.49e+07,B,,
C,3,,,208.978,,,1.12e+07,B,,
C,3,,,208.978,,,1.25e+06,B,,
C,2,209.117,0.006,209.11372,0.00022,75*,1.00e+07,B,,
C,2,209.117,0.006,209.11867,0.00013,75*,1.69e+07,B,,
C,2,209.163,0.006,209.16475,0.00013,75*,2.41e+07,B,,
