element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Cr,1,199.995,0.005,199.99536,0.00020,35,1.4e+08,D,4,4,,
Cr,2,200.01079,0.00010,200.010735,0.000013,5,,,7/2,5/2,,
Cr,2,200.04227,0.00008,200.042230,0.000009,7*,,,11/2,11/2,,
Cr,2,200.04227,0.00008,200.042545,0.000009,7*,,,5/2,7/2,,
Cr,1,200.060,0.005,200.06050,0.00003,20,,,3,2,,
Cr,2,200.08405,0.00010,200.084035,0.000009,6,,,9/2,7/2,,
Cr,2,200.11020,0.00003,200.110188,0.000009,18,,,3/2,3/2,,
Cr,2,200.16768,0.00011,200.167690,0.000009,4,,,3/2,3/2,,
Cr,2,200.1834,0.0002,200.183545,0.000009,4,,,5/2,3/2,,
Cr,2,200.202162,0.000010,200.202159,0.000009,78,,,3/2,1/2,,
Cr,2,200.27602,0.00007,200.276018,0.000007,7,,,5/2,7/2,,
Cr,2,200.299020,0.000015,200.299011,0.000007,41,,,7/2,7/2,,
Cr,2,200.30491,0.00008,200.304941,0.000007,8,,,9/2,7/2,,
Cr,1,200.355,0.005,200.35592,0.00016,5,,,4,3,,
Cr,2,200.3611,0.0003,200.360909,0.000009,3,,,9/2,11/2,,
Cr,2,200.389343,0.000015,200.389350,0.000007,41,,,11/2,11/2,,
Cr,2,200.39600,0.00005,200.396006,0.000013,11,,,1/2,1/2,,
Cr,2,200.40789,0.00015,200.408043,0.000007,4,,,11/2,9/2,,
Cr,2,200.4180,0.0003,200.418173,0.000007,4,,,9/2,11/2,,
Cr,2,200.42580,0.00004,200.425806,0.000013,12,,,3/2,1/2,,
Cr,2,200.43084,0.00010,200.430934,0.000007,4,,,7/2,9/2,,
Cr,2,200.43685,0.00003,200.436872,0.000007,23,,,9/2,9/2,,
Cr,1,200.494,0.005,200.49570,0.00016,8,,,4,4,,
Cr,1,200.576,0.005,200.57607,0.00006,10,,,4,3,,
Cr,2,200.66374,0.00005,200.663681,0.000013,11,,,1/2,1/2,,
Cr,1,200.688,,200.688182,0.000013,6:,,,3,3,,
Cr,2,200.69358,0.00004,200.693560,0.000013,15,,,3/2,1/2,,
Cr,2,200.719091,0.000017,200.719099,0.000007,37,,,5/2,5/2,,
Cr,2,200.72271,0.00009,200.722698,0.000017,12,,,7/2,9/2,,
Cr,2,200.74215,0.00008,200.742194,0.000007,6,,,7/2,5/2,,
Cr,2,200.7858,0.0003,200.785775,0.000009,4,,,9/2,9/2,,
Cr,2,200.798880,0.000007,200.798888,0.000009,230,,,5/2,5/2,,
Cr,2,201.101877,0.000009,201.101880,0.000009,88,,,5/2,3/2,,
Cr,2,201.11691,0.00004,201.116902,0.000006,16,8.33e+05,,5/2,5/2,,
Cr,2,201.21445,0.00011,201.214260,0.000008,7,,,1/2,3/2,,
Cr,2,201.24430,0.00002,201.244303,0.000007,26,,,3/2,3/2,,
Cr,2,201.260323,0.000010,201.260329,0.000007,71,,,5/2,3/2,,
Cr,2,201.27795,0.00007,201.277940,0.000009,16,,,9/2,9/2,,
Cr,2,201.36182,0.00010,201.361843,0.000006,6,1.57e+05,,5/2,7/2,,
Cr,2,201.369430,0.000014,201.369412,0.000017,53,,,5/2,7/2,,
Cr,2,201.411555,0.000013,201.411572,0.000025,59,,,7/2,9/2,,
Cr,2,201.435437,0.000016,201.43546,0.00003,44,,,3/2,5/2,,
