element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
H,1,,,365.51234,0.00013,,6.7464e+01,AAA,,,,
H,1,,,365.55993,0.00013,,7.6576e+01,AAA,,,,
H,1,,,365.61134,0.00013,,8.7206e+01,AAA,,,,
H,1,365.665,0.003,365.66698,0.00019,700,9.9657e+01,AAA,,,,
H,1,365.725,0.003,365.72735,0.00019,700,1.1430e+02,AAA,,,,
H,1,365.804,0.010,365.79299,0.00019,700bl,1.3161e+02,AAA,,,,
H,1,365.865,0.003,365.86453,0.00019,700,1.5216e+02,AAA,,,,
H,1,365.941,0.003,365.94271,0.00019,700,1.7669e+02,AAA,,,,
H,1,366.032,0.010,366.02837,0.00019,700bl,2.0612e+02,AAA,,,,
H,1,366.127,0.003,366.12249,0.00019,800,2.4162e+02,AAA,,,,
H,1,366.222,0.010,366.22625,0.00019,1100bl,2.8474e+02,AAA,,,,
H,1,366.341,0.010,366.34098,0.00019,900bl,3.3742e+02,AAA,,,,
H,1,366.465,0.010,366.46831,0.00019,1000bl,4.0224e+02,AAA,,,,
H,1,366.608,0.003,366.61016,0.00019,900,4.8261e+02,AAA,,,,
H,1,366.773,0.003,366.76881,0.00019,1000,5.8304e+02,AAA,,,,
H,1,366.945,0.003,366.94705,0.00019,1300,7.0963e+02,AAA,,,,
H,1,367.132,0.010,367.14823,0.00019,1200bl,8.7069e+02,AAA,,,,
H,1,367.381,0.003,367.37649,0.00019,1300,1.0777e+03,AAA,,,,
H,1,367.6376,0.0006,367.63692,0.00019,1400,1.3467e+03,AAA,,,,
H,1,367.9370,0.0006,367.93589,0.00019,1700,1.7005e+03,AAA,,,,
H,1,368.2823,0.0006,368.28143,0.00019,1700,2.1719e+03,AAA,,,,
H,1,368.6831,0.0006,368.68376,0.00019,2000,2.8093e+03,AAA,,,,
H,1,369.1551,0.0006,369.15611,0.00019,2300,3.6851e+03,AAA,,,,
H,1,369.7157,0.0006,369.71581,0.00019,2300,4.9101e+03,AAA,,,,
H,1,370.3859,0.0006,370.38593,0.00019,2800,6.6583e+03,AAA,,,,
H,1,371.1978,0.0006,371.19774,0.00019,3300,9.2102e+03,AAA,,,,
H,1,372.1946,0.0006,372.19449,0.00019,5000,1.3032e+04,AAA,,,,
H,1,373.4369,0.0006,373.43746,0.00020,6000,1.8927e+04,AAA,,,,
H,1,,,375.0124905,0.0000021,,4.8748e+05,AAA,1/2,3/2,,
H,1,,,375.0125118,0.0000022,,2.9828e+04,AAA,1/2,1/2,,
H,1,,,375.01275,0.00008,,,,,,,
H,1,375.0129789,0.0000021,375.0129789,0.0000021,,,,1/2,5/2,E2,
H,1,,,375.0129867,0.0000022,,3.5544e+05,AAA,1/2,3/2,,
H,1,375.0129869,0.0000021,375.0129869,0.0000021,,,,1/2,3/2,E2,
H,1,,,375.0130082,0.0000022,,,,1/2,1/2,M1,
H,1,,,375.0130105,0.0000022,,3.5544e+05,AAA,1/2,1/2,,
H,1,375.0151,0.0006,375.01584,0.00020,8000,2.8337e+04,AAA,,,,
H,1,,,375.01515,0.00008,,,,,,,
H,1,,,375.0176298,0.0000021,,5.8495e+05,AAA,3/2,5/2,,
H,1,,,375.01763,0.00003,,,,,,,
H,1,,,375.0176378,0.0000021,,9.7489e+04,AAA,3/2,3/2,,
H,1,,,375.0176591,0.0000022,,5.9661e+04,AAA,3/2,1/2,,
H,1,,,377.0603010,0.0000021,,6.3659e+05,AAA,1/2,3/2,,
H,1,,,377.0603290,0.0000022,,3.8791e+04,AAA,1/2,1/2,,
H,1,,,377.06056,0.00009,,,,,,,
H,1,,,377.0608027,0.0000022,,4.6164e+05,AAA,1/2,3/2,,
H,1,,,377.0608308,0.0000022,,,,1/2,1/2,M1,
H,1,,,377.0608340,0.0000022,,4.6164e+05,AAA,1/2,1/2,,
H,1,,,377.06300,0.00009,,,,,,,
H,1,377.0633,0.0006,377.06368,0.00020,9000,4.3972e+04,AAA,,,,
H,1,,,377.0654943,0.0000021,,7.6387e+05,AAA,3/2,5/2,,
H,1,,,377.06550,0.00003,,,,,,,
H,1,,,377.0655047,0.0000021,,1.2731e+05,AAA,3/2,3/2,,
H,1,,,377.0655327,0.0000022,,7.7590e+04,AAA,3/2,1/2,,
H,1,,,379.7870048,0.0000021,,8.5386e+05,AAA,1/2,3/2,,
H,1,,,379.7870427,0.0000022,,5.1748e+04,AAA,1/2,1/2,,
H,1,,,379.78727,0.00009,,,,,,,
H,1,379.7874999,0.0000021,379.7874999,0.0000021,,,,1/2,5/2,E2,
H,1,,,379.7875137,0.0000022,,6.1475e+05,AAA,1/2,3/2,,
H,1,,,379.7875518,0.0000022,,,,1/2,1/2,M1,
H,1,,,379.7875560,0.0000022,,6.1476e+05,AAA,1/2,1/2,,
H,1,,,379.78974,0.00009,,,,,,,
H,1,379.7909,0.0006,379.79044,0.00020,17000,7.1225e+04,AAA,,,,
H,1,,,379.7922699,0.0000021,,1.0246e+06,AAA,3/2,5/2,,
H,1,,,379.79227,0.00003,,,,,,,
H,1,,,379.7922840,0.0000021,,1.7076e+05,AAA,3/2,3/2,,
H,1,,,379.7923219,0.0000022,,1.0351e+05,AAA,3/2,1/2,,
H,1,,,383.5355892,0.0000022,,1.1836e+06,AAA,1/2,3/2,,
H,1,,,383.5356424,0.0000022,,7.1201e+04,AAA,1/2,1/2,,
H,1,,,383.53587,0.00009,,,,,,,
H,1,,,383.5361082,0.0000022,,8.4384e+05,AAA,1/2,3/2,,
H,1,,,383.5361616,0.0000022,,,,1/2,1/2,M1,
H,1,,,383.5361673,0.0000022,,8.4385e+05,AAA,1/2,1/2,,
H,1,,,383.53839,0.00009,,,,,,,
H,1,383.5397,0.0006,383.53909,0.00021,30000,1.2156e+05,AAA,,,,
H,1,,,383.5409535,0.0000022,,1.4203e+06,AAA,3/2,5/2,,
H,1,,,383.54096,0.00003,,,,,,,
H,1,,,383.5409732,0.0000022,,2.3671e+05,AAA,3/2,3/2,,
H,1,,,383.5410263,0.0000022,,1.4242e+05,AAA,3/2,1/2,,
H,1,,,388.9019815,0.0000021,,1.7103e+06,AAA,1/2,3/2,,
H,1,,,388.9020595,0.0000021,,1.0180e+05,AAA,1/2,1/2,,
H,1,,,388.90227,0.00009,,,,,,,
H,1,388.9024865,0.0000021,388.9024865,0.0000021,,,,1/2,5/2,E2,
H,1,,,388.9025152,0.0000021,,1.2025e+06,AAA,1/2,3/2,,
H,1,388.9025154,0.0000021,388.9025154,0.0000021,,,,1/2,3/2,E2,
H,1,388.9025933,0.0000021,388.9025933,0.0000021,,,,1/2,1/2,M1,
H,1,,,388.9026017,0.0000021,,1.2026e+06,AAA,1/2,1/2,,
H,1,,,388.90486,0.00009,,,,,,,
H,1,388.9064,0.0006,388.90557,0.00021,70000,2.2148e+05,AAA,,,,
H,1,,,388.9074883,0.0000021,,2.0523e+06,AAA,3/2,5/2,,
H,1,,,388.90749,0.00003,,,,,,,
H,1,,,388.9075172,0.0000021,,3.4205e+05,AAA,3/2,3/2,,
H,1,,,388.9075951,0.0000021,,2.0363e+05,AAA,3/2,1/2,,
H,1,,,397.0041763,0.0000022,,2.6093e+06,AAA,1/2,3/2,,
H,1,,,397.0042976,0.0000022,,1.5289e+05,AAA,1/2,1/2,,
H,1,,,397.00448,0.00009,,,,,,,
H,1,,,397.0047325,0.0000022,,1.7972e+06,AAA,1/2,3/2,,
H,1,,,397.0048539,0.0000022,,,,1/2,1/2,M1,
H,1,,,397.0048670,0.0000022,,1.7972e+06,AAA,1/2,1/2,,
H,1,,,397.00719,0.00009,,,,,,,
H,1,397.0075,0.0006,397.00788,0.00022,30000,4.3889e+05,AAA,,,,
H,1,,,397.0099002,0.0000022,,3.1311e+06,AAA,3/2,5/2,,
H,1,,,397.00991,0.00003,,,,,,,
H,1,,,397.0099450,0.0000022,,5.2183e+05,AAA,3/2,3/2,,
H,1,,,397.0100663,0.0000022,,3.0581e+05,AAA,3/2,1/2,,
H,1,,,410.1702284,0.0000021,,4.2877e+06,AAA,1/2,3/2,,
H,1,,,410.1704339,0.0000021,,2.4501e+05,AAA,1/2,1/2,,
H,1,,,410.17056,0.00010,,,,,,,
H,1,410.1707462,0.0000021,410.1707462,0.0000021,,,,1/2,5/2,E2,
H,1,,,410.1708218,0.0000021,,2.8583e+06,AAA,1/2,3/2,,
H,1,410.1710277,0.0000021,410.1710277,0.0000021,,,,1/2,1/2,M1,
H,1,,,410.1710499,0.0000021,,2.8584e+06,AAA,1/2,1/2,,
H,1,410.1734,0.0006,410.17415,0.00024,70000,9.7320e+05,AAA,,,,
H,1,,,410.17346,0.00010,,,,,,,
H,1,,,410.1763100,0.0000021,,5.1450e+06,AAA,3/2,5/2,,
H,1,,,410.17632,0.00003,,,,,,,
H,1,,,410.1763860,0.0000021,,8.5748e+05,AAA,3/2,3/2,,
H,1,,,410.1765915,0.0000021,,4.9006e+05,AAA,3/2,1/2,,
H,1,,,434.0426937,0.0000022,,7.8548e+06,AAA,1/2,3/2,,
H,1,,,434.04309,0.00011,,,,,,,
H,1,,,434.0430904,0.0000023,,4.2955e+05,AAA,1/2,1/2,,
H,1,,,434.0433568,0.0000023,,4.9483e+06,AAA,1/2,3/2,,
H,1,,,434.0437554,0.0000023,,,,1/2,1/2,M1,
H,1,,,434.0437982,0.0000023,,4.9484e+06,AAA,1/2,1/2,,
H,1,,,434.04634,0.00011,,,,,,,
H,1,434.0472,0.0006,434.0471,0.0003,90000,2.5304e+06,AAA,,,,
H,1,,,434.0494419,0.0000022,,9.4254e+06,AAA,3/2,5/2,,
H,1,,,434.04947,0.00004,,,,,,,
H,1,,,434.0495889,0.0000022,,1.5709e+06,AAA,3/2,3/2,,
H,1,,,434.0499857,0.0000023,,8.5920e+05,AAA,3/2,1/2,,
H,1,,,486.1278624,0.0000024,,1.7188e+07,AAA,1/2,3/2,,
H,1,486.1283363,0.0000024,486.1283363,0.0000024,,,,1/2,5/2,E2,
H,1,,,486.12841,0.00014,,,,,,,
H,1,486.1286949,0.0000024,486.1286949,0.0000024,,9.6680e+06,AAA,1/2,3/2,,
H,1,,,486.1288370,0.0000024,,8.5941e+05,AAA,1/2,1/2,,
H,1,486.1296711,0.0000024,486.1296711,0.0000024,,,,1/2,1/2,M1,
H,1,486.1297761,0.0000024,486.1297761,0.0000024,,9.6682e+06,AAA,1/2,1/2,,
H,1,,,486.13250,0.00014,,,,,,,
H,1,486.135,0.005,486.1333,0.0003,180000,8.4193e+06,AAA,,,,
H,1,,,486.1361516,0.0000024,,2.0625e+07,AAA,3/2,5/2,,
H,1,,,486.13622,0.00005,,,,,,,
H,1,,,486.1365118,0.0000024,,3.4375e+06,AAA,3/2,3/2,,
