element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
Ni,11,200.04,0.02,200.1+,,,,,4,3,M1,
Ni,1,,,200.04972,,,5.4e+06,C,2,1,,
Ni,1,,,200.183,,,7.3e+06,C,3,3,,
Ni,4,,,200.452,,,1.9e+00,E,5/2,5/2,M1,
Ni,4,,,200.452,,,1.5e-03,E,5/2,5/2,E2,
Ni,1,,,200.69929,,,1.7e+07,C,2,2,,
Ni,1,,,200.76853,,,9.0e+06,C,3,3,,
Ni,1,,,201.42411,,,9.3e+07,C,1,2,,
Ni,4,,,201.454,,,3.0e-01,E,3/2,5/2,M1,
Ni,4,,,201.454,,,2.5e-01,E,3/2,5/2,E2,
Ni,1,,,202.53892,,,2.3e+07,D,3,2,,
Ni,1,,,202.65877,,,2.4e+07,C,4,3,,
Ni,1,,,202.927,,,2.3e+06,C,2,3,,
Ni,4,,,203.016,,,2.7e-01,E,5/2,3/2,M1,
Ni,4,,,203.016,,,2.9e-04,E,5/2,3/2,E2,
Ni,1,,,203.01869,,,1.7e-01,E,2,0,E2,
Ni,2,,,203.3389,,,2.3e+06,C,7/2,5/2,,
Ni,1,,,203.35460,,,3.0e+06,D,2,2,,
Ni,4,,,203.885,,,2.2e-02,E,1/2,5/2,E2,
Ni,4,,,204.044,,,7.2e-01,E,3/2,3/2,M1,
Ni,4,,,204.044,,,1.3e-01,E,3/2,3/2,E2,
Ni,1,,,204.11442,,,3.2e+06,D,1,2,,
Ni,1,,,204.73429,,,1.8e+07,C,3,2,,
Ni,1,,,205.08308,,,7.6e+06,E,1,1,,
Ni,1,,,205.20737,,,9.7e+06,C,4,4,,
Ni,1,,,205.24344,,,3.2e+06,C,3,2,,
Ni,2,,,205.3293,,,2.5e+06,B,9/2,7/2,,
Ni,1,,,205.39095,,,7.5e+05,D,4,3,,
Ni,1,,,205.54892,,,3.3e+07,C,2,1,,
Ni,1,,,205.99008,,,2.1e+07,D,3,2,,
Ni,1,,,206.01952,,,2.3e+07,E,2,1,,
Ni,1,,,206.23474,,,4.6e+06,E,2,2,,
Ni,1,,,206.33953,,,5.0e+06,D,2,3,,
Ni,1,,,206.43735,,,4.0e+07,D,1,0,,
Ni,4,,,206.539,,,1.9e-01,E,1/2,3/2,M1,
Ni,4,,,206.539,,,6.3e-02,E,1/2,3/2,E2,
Ni,1,,,206.95046,,,1.1e+07,D,2,2,,
Ni,4,,,207.574,,,8.5e+00,E,9/2,5/2,E2,
Ni,1,,,208.06190,,,8.2e+01,E,2,0,E2,
Ni,2,,,208.0847,,,8.0e+06,C,3/2,3/2,,
Ni,1,,,208.28447,,,8.5e+06,C,3,3,,
Ni,1,,,208.53518,,,7.7e+06,C,2,1,,
Ni,15,208.551,0.002,208.551+,,,2.0e+02,E,1,2,M1,
Ni,15,,,208.551,,,1.2e-01,E,1,2,E2,
Ni,1,,,208.55551,,,2.6e+08,D,2,2,,
Ni,1,,,208.89607,,,4.2e+06,D,2,2,,
Ni,1,,,208.90698,,,9.7e+06,D,3,2,,
Ni,2,,,209.0103,,,7.0e+06,C,3/2,5/2,,
Ni,2,,,209.3553,,,6.5e+06,C+,7/2,7/2,,
Ni,1,,,209.51235,,,1.1e+07,E,2,3,,
Ni,1,,,210.58349,,,3.0e+06,C,1,2,,
Ni,1,,,210.97743,,,1.5e+06,C,3,4,,
Ni,1,,,211.17148,,,6.5e+06,C,3,3,,
Ni,1,,,211.44099,,,9.7e+06,C,2,2,,
Ni,1,,,212.13903,,,2.8e+07,C,3,2,,
Ni,1,,,212.48059,,,3.8e+07,C,2,1,,
Ni,4,,,212.508,,,4.5e-03,E,7/2,5/2,M1,
Ni,4,,,212.508,,,6.0e-01,E,7/2,5/2,E2,
Ni,2,,,212.5117,,,6.4e+06,C,7/2,7/2,,
Ni,13,212.550,0.002,212.550+,,,2.6e+02,E,2,2,M1,
Ni,13,,,212.550,,,4.1e-01,E,2,2,E2,
Ni,1,,,212.56261,,,5.1e+06,C,4,3,,
Ni,2,,,212.5905,,,5.0e+06,B,9/2,7/2,,
Ni,1,,,212.84103,,,5.6e+06,C,2,2,,
Ni,2,,,212.8578,,,2.48e+07,B,5/2,7/2,,
Ni,1,,,212.99541,,,4.2e+06,C,3,2,,
Ni,2,,,213.8582,,,1.77e+07,C+,7/2,5/2,,
Ni,1,,,214.77838,,,4.7e+07,C,2,1,,
Ni,1,,,215.19208,,,3.2e+06,C,2,3,,
Ni,1,,,215.22234,,,3.2e+06,C,2,2,,
Ni,4,,,215.392,,,8.5e+00,E,7/2,3/2,E2,
Ni,1,,,215.78282,,,4.1e+07,C,2,1,,
Ni,1,,,215.83059,,,6.9e+07,C,3,2,,
Ni,2,,,215.8737,,,3.5e+07,C,5/2,3/2,,
