element,sp_num,obs_wl_air(nm),unc_obs_wl,ritz_wl_air(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,J_i,J_k,Type,
S,2,200.0514,0.0007,200.0519,0.0003,5800,,,5/2,7/2,,
S,2,200.1570,0.0007,200.15688,0.00020,2600,,,5/2,5/2,,
S,2,200.1985,0.0007,200.1996,0.0004,12000,,,7/2,9/2,,
S,2,200.2278,0.0007,200.22738,0.00020,8500,,,3/2,5/2,,
S,2,200.3540,0.0007,200.3538,0.0004,3800,6.12e06,D,1/2,3/2,,
S,2,200.4956,0.0009,200.4955,0.0003,270,,,5/2,7/2,,
S,2,200.6367,0.0007,200.6367,0.0004,2500,4.09e06,D,1/2,1/2,,
S,2,200.6754,0.0007,200.6759,0.0003,5700,,,5/2,7/2,,
S,2,200.7758,0.0009,200.77586,0.00020,1700,,,5/2,5/2,,
S,2,200.8375,0.0007,200.8368,0.0003,2500,,,7/2,7/2,,
S,5,,,200.883,,,2.28e06,C,1,2,,
S,2,201.2401,0.0009,201.2391,0.0004,1100,,,9/2,9/2,,
S,2,201.4658,0.0009,201.4657,0.0003,160,,,7/2,7/2,,
S,12,,,202,,,8.84e05,D,3/2,5/2,,
S,12,,,202,,,1.47e05,D,3/2,3/2,,
S,5,,,202.062,,,2.32e04,D,3,2,,
S,5,,,202.067,,,6.98e06,E,1,2,,
S,5,,,202.124,,,1.05e08,D,2,2,,
S,5,,,202.210,,,5.87e08,D,3,2,,
S,5,,,202.672,,,1.74e08,D,1,1,,
S,5,202.7328,,202.7292,,1,5.19e08,D,2,1,,
S,5,202.8648,,202.8642,,1,6.90e08,D,1,0,,
S,2,203.1710,0.0009,203.1716,0.0005,260,,,5/2,7/2,,
S,2,204.6942,0.0009,204.6943,0.0005,400,,,5/2,5/2,,
S,6,205.445,,205.445,,10*,,,5/2,7/2,,
S,6,205.445,,205.445,,10*,,,7/2,7/2,,
S,6,205.445,,205.445,,10*,,,7/2,9/2,,
S,2,205.7764,0.0009,205.7767,0.0005,240,,,5/2,3/2,,
S,3,205.9854,,205.9835,,1,7.06e05,C,2,3,,
S,5,,,206.358,,,1.61e08,B,1,2,,
S,6,206.828,,206.828,,40w*,,,7/2,9/2,,
S,6,206.828,,206.828,,40w*,,,9/2,9/2,,
S,6,206.828,,206.828,,40w*,,,9/2,11/2,,
